Famille,Surnom,Nom_reel,Role,Pouvoir_en_jeu,Coup_bas,Couleur
Electro-Rockers,Le Saccageur,Marco,Papa / Guitariste,Solo de 10 min : tu joues une carte supplementaire immediatement.,Retour de Larsen : annule l'action d'un adversaire.,Violet / Jaune
Electro-Rockers,Flingue-futs,Rita,Maman / Batteuse,Rythme effrene : tu pioches 2 cartes puis tu defausses 1.,Double pedale : vole 1 membre chez un voisin.,Violet / Jaune
Electro-Rockers,Le Fracasse,Kevin,Ado rebelle,Fete clandestine : annule le Pouvoir de Quartier adverse.,Cable coupe : force un voisin a defausser sa main.,Violet / Jaune
Electro-Rockers,Loop-Machine,Lulu,DJ en herbe,Remix : echange la position de 2 cartes sur la table.,Basses saturees : tous les joueurs passent leur main au voisin de gauche.,Violet / Jaune
Electro-Rockers,Le Bagagiste,Sam,Roadie,Matos : recupere une carte de la defausse en main.,Casse de matos : oblige un adversaire a defausser une carte Membre.,Violet / Jaune
Electro-Rockers,Le Hurleur,Timmy,Petit dernier / Chanteur Death Metal,Hurlante : ton score de nuisance ne compte pas pour ce tour.,Pleurs stridents : annule tout le score de nuisance d'un adversaire ce tour-ci.,Violet / Jaune
Occulte,L'Ombre,Archibald,Grand-pere / Sorcier,Rituel de protection : tes membres ne peuvent pas etre cibles par un Coup Bas adverse.,Invocation : regarde les 5 premieres cartes de la pioche et place-les dans l'ordre de ton choix.,Noir / Indigo
Occulte,Cosmos,Gladys,Tante / Astrologue,Alignement des planetes : change la couleur/famille d'un de tes membres pour un tour.,Eclipse : force un adversaire a sauter son tour.,Noir / Indigo
Occulte,La Funebre,Morticia,Gothique 1,Lecture d'aura : vois la main d'un adversaire.,Esprit frappeur : annule le score d'un membre adverse.,Noir / Indigo
Occulte,Le Spectre,Balthazar,Gothique 2,Levitation : deplace un de tes membres poses vers un autre emplacement (pour activer un combo).,Apparition : echange ton score avec celui d'un adversaire.,Noir / Indigo
Occulte,La Nebuleuse,Lilith,Gothique 3,Cercle magique : une fois par tour pioche une carte si tu subis une attaque.,Disparition : le dernier membre pose par ton adversaire retourne dans sa main.,Noir / Indigo
Occulte,Le Sanglant,Vlad,Gothique 4,Transmutation : transforme un Coup Bas adverse en carte Membre pour toi.,Baiser du vampire : vole 10 points de Nuisance a un adversaire (il baisse tu montes).,Noir / Indigo
Sportifs,Le Sergent,Victor,Coach,Entrainement intensif : tu peux poser deux membres Sportifs d'un coup s'ils ont des surnoms a 3 lettres (Max Tom Kim Zoe).,Carton Rouge : bloque immediatement un pouvoir de famille actif d'un adversaire pour le reste de la manche.,Orange / Bleu
Sportifs,Le Voltigeur,Jack,Oncle / Cascadeur,Saut de haie : tu peux voler une carte directement dans la defausse d'un joueur.,Trampoline : renvoie un Coup Bas recu directement a l'envoyeur.,Orange / Bleu
Sportifs,Le Grind,Max,Skateur,Rampe de lancement : si tu pioches un autre Sportif tu peux le poser immediatement en jeu gratuitement.,Vitesse de pointe : permet de rejouer immediatement un tour complet apres celui-ci.,Orange / Bleu
Sportifs,Le Ressort,Zoe,Parkour,Agilite : tu es totalement immunise contre les vols de cartes.,Esquive : annule le dernier Coup Bas qui te ciblait et pioche 1 carte.,Orange / Bleu
Sportifs,Nitro,Tom,BMX,Roue arriere : double les points de nuisance de ton prochain membre pose.,Saut d'obstacle : regarde la main d'un joueur et force-le a defausser sa carte la plus forte.,Orange / Bleu
Sportifs,La Ventouse,Kim,Escalade,Prise solide : un de tes membres en jeu ne peut plus etre retire vole ou detruit.,Rappel : reprends en main un de tes membres deja poses pour le proteger ou rejouer son pouvoir.,Orange / Bleu
Collectionneurs,La Fouineuse,Odette,Maman / Antiquaire,Brocante : tu peux echanger une carte de ta main avec n'importe quelle carte visible de la defausse generale.,Vide-poches : force un adversaire a defausser 2 cartes au hasard et a piocher 2 cartes de la defausse a la place.,Gris / Rouille
Collectionneurs,Le Vide-Grenier,Berthe,Grand-mere / Accumulatrice,Invasion : tant qu'elle est en jeu la limite de cartes en main de TOUS les autres joueurs est reduite a 3 (au lieu de 5).,Montagne de detritus : bloque la pioche generale pour un tour. Les joueurs doivent piocher dans la defausse.,Gris / Rouille
Collectionneurs,Le Rafistoleur,Gaspard,Bricoleur 1,Seconde vie : copie le pouvoir d'un membre actuellement present dans la defausse.,Piece detachee : protege un de tes membres de la destruction en defaussant Gaspard a la place.,Gris / Rouille
Collectionneurs,La Rouille,Hector,Bricoleur 2,Tetanos : chaque joueur qui te vole une carte ou un membre perd 10 points sur le barometre.,Benne a ordure : choisis 3 cartes de la defausse et melange-les de force dans la main d'un adversaire.,Gris / Rouille
Collectionneurs,La Recup,Clara,Bricoleuse 3,Tri selectif : regarde les 3 dernieres cartes defaussees prends-en une en main remets les autres.,Troque : echange un membre faible de ton jeu contre un membre fort d'un adversaire.,Gris / Rouille
Collectionneurs,Le Chipeur,Felix,Bricoleur 4,Vol a l'etalage : pioche une carte directement dans la main du joueur qui a le plus de points.,Camouflage : echange Felix avec un membre adverse deja pose sur la table.,Gris / Rouille
